run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,n_parameters,fit_seconds,n_train,grid_points,noise_sigma,z,torch_threads,quick,cache
20260904T210105Z,ensemble,3,in_range,300,0.10411531755216033,0.8419677218427173,0.95,0.3970564776166497,0.10010338552912584,760,16.922,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,3,extrapolation,200,0.31404496024503437,-3.301472372637752,0.61,0.40634018822438234,0.10010338552912584,760,16.922,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,3,overall,500,0.2143681283015607,-0.8154083159494703,0.814,0.4007699618597428,0.10010338552912583,760,16.922,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,3,in_range,300,0.1212835592478234,0.6608700426495864,0.9,0.4039888586635601,0.10188477983226009,303,6.897,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,3,extrapolation,200,0.3171534849409973,-3.2542258053457793,0.32,0.4100276698295865,0.10188477983226009,303,6.897,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,3,overall,500,0.22149572061414627,-0.90516829654856,0.668,0.40640438312997057,0.10188477983226009,303,6.897,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,3,in_range,300,0.10328645235724107,0.8518644752657984,0.9366666666666666,0.3989845629079989,0.10039236112032793,152,3.391,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,3,extrapolation,200,0.30007717638696474,-0.1327011711070564,0.9,0.9357888281510582,0.10039236112032793,152,3.391,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,3,overall,500,0.20595965493192153,0.4580382167166565,0.922,0.6137062690052226,0.10039236112032793,152,3.391,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,3,in_range,300,0.10255922622301414,0.8572535102028962,0.9533333333333334,0.3930253993469148,0.09887691968161419,3,0.698,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,3,extrapolation,200,0.24252779282795464,0.04091594910837326,0.96,1.0989341800346721,0.09887691968161419,3,0.698,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,3,overall,500,0.17273948317532314,0.5307184857650871,0.956,0.6753889116220176,0.0988769196816142,3,0.698,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,4,in_range,300,0.10045549759462954,0.8789763139984654,0.9533333333333334,0.39823322144177903,0.10159197428702568,152,3.36,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,4,extrapolation,200,0.27092124447693666,-2.187947808949765,0.66,0.3982332214417791,0.10159197428702568,152,3.36,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,4,overall,500,0.18818637698240437,-0.34779333518082695,0.836,0.39823322144177903,0.10159197428702568,152,3.36,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,4,in_range,300,0.16059679075775538,0.2689131303686912,0.9966666666666667,0.9862686398761094,0.21093557950138117,152,3.684,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,4,extrapolation,200,0.928933350033006,-5.364286292931803,0.095,1.0726061543818175,0.21093557950138114,152,3.684,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,4,overall,500,0.6005344828087988,-1.9843666389515064,0.636,1.0208036456783927,0.21093557950138114,152,3.684,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,4,in_range,300,0.10048695849790311,0.8780783014528716,0.9566666666666667,0.40364740903326074,0.10182424610880682,760,22.122,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,4,extrapolation,200,0.2770603037558533,-1.125576651435657,0.695,0.44891589186612835,0.10182424610880682,760,22.122,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,ensemble,4,overall,500,0.19173821232036628,0.07661632029746034,0.852,0.42175480216640776,0.10182424610880682,760,22.122,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,4,in_range,300,0.1022208097708044,0.8576352039034544,0.9666666666666667,0.4277908344326518,0.10738421413555893,303,14.061,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,4,extrapolation,200,0.3052418992749536,-2.481240306410229,0.435,0.43729994599966887,0.10738421413555893,303,14.061,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,bbb,4,overall,500,0.20865882008511347,-0.47791500022201894,0.754,0.4315944790594586,0.10738421413555893,303,14.061,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,4,in_range,300,0.10045549759462954,0.8784756350563847,0.9566666666666667,0.40486456432744233,0.10159197428702568,152,6.38,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,4,extrapolation,200,0.27092124447693666,0.14516253182491634,0.97,0.9305844580773747,0.10159197428702568,152,6.38,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,4,overall,500,0.18818637698240437,0.5851503937637974,0.962,0.6151525218274153,0.10159197428702568,152,6.38,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,4,in_range,300,0.10038812475500075,0.8793004208740539,0.9533333333333334,0.40314563331444436,0.10136349829241523,3,1.043,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,4,extrapolation,200,0.30350441892503965,-0.11332535148410047,0.965,1.166109020921387,0.10136349829241523,3,1.043,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,4,overall,500,0.20710537964501488,0.48225011193079215,0.958,0.7083309883572214,0.10136349829241523,3,1.043,250,500,0.1,1.959963984540054,1,False,False
